中文	翻译文本
%s已达到最大上限	%s已達到最大上限
胜利	勝利
平局	平局
可解锁	可解鎖
已解锁	已解鎖
<color=#D1DADDFF>已解锁</color>	<color=#D1DADDFF>已解鎖</color>
<color=#9B9B9BFF>%s级解锁</color>	<color=#9B9B9BFF>%s級解鎖</color>
不再提示	不再提示
本次登录不再延时确认	本次登錄不再延時確認
武将	武將
器械所	器械所
今日不再提示	今日不再提示
灰	灰
绿	綠
蓝	藍
紫	紫
橙	橙
红	紅
灰色	灰色
绿色	綠色
蓝色	藍色
紫色	紫色
橙色	橙色
红色	紅色
建筑未激活	建築未啟動
暂无加成	暫無加成
暂无城池	暫無城池
普通	普通
精英	精英
名将	名將
炼狱	煉獄
暂无排名数据	暫無排名數據
暂无数据	暫無數據
"赠与%s信物,可直接招募武将%s,确定赠与吗？"	"贈與%s信物,可直接招募武將%s,確定贈與嗎？"
花费金饼可直接招募该武将，确认招募吗？	花費金餅可直接招募該武將，確認招募嗎？
花费联盟名望可直接招募该武将，确认招募吗？	花費聯盟名望可直接招募該武將，確認招募嗎？
武将背包已满，请先清理武将背包。	武將背包已滿，請先清理武將背包。
制宝	制寶
炼宝	煉寶
次数	次數
划拨	劃撥
充值Q点成功！	儲值Q點成功！
收购队列	收購隊列
开放占领倒计时：\n   %s	開放佔領倒計時：\n   %s
己方出生点	己方出生點
敌方出生点	敵方出生點
一键添加	一鍵添加
送	送
首次加入联盟	首次加入聯盟
此玩家暂时未开启联盟	此玩家暫時未開啟聯盟
说明	說明
前往征兵	前往徵兵
暂无公告	暫無公告
新	新
已装备	已裝備
可合成	可合成
MVP	MVP
兑换	兌換
邀友\n解囊	邀友\n解囊
邀友解囊	邀友解囊
可能获得	可能獲得
[临]	[臨]
武将体力消耗	武將體力消耗
师兄	師兄
师姐	師姐
可使用 %s	可使用 %s
已分配 %s	已分配 %s
名称不能为空	名稱不能為空
修改成功	修改成功
满员	滿員
流水号:%s\n	流水號:%s\n
指令id:%s\n	指令id:%s\n
大哭	大哭
开心	開心
委屈	委屈
害羞	害羞
可怜	可憐
冷漠	冷漠
惊讶	驚訝
亲亲	親親
喜欢	喜歡
发呆	發呆
好色	好色
可爱	可愛
动作%s	動作%s
此设备不支持AR功能。	此設備不支援AR功能。
移动手机，进行平面识别。\n被成功识别的平面将会用蓝色方框标识。	移動手機，進行平面識別。\n被成功識別的平面將會用藍色方框標識。
平面识别完毕。\n请在左侧列表内选择武将，\n然后点击平面内任意位置放置武将。	平面識別完畢。\n請在左側列表內選擇武將，\n然後點擊平面內任意位置放置武將。
需要获取对应武将后解锁此模型	需要獲取對應武將後解鎖此模型
请先在左侧列表内选择武将	請先在左側列表內選擇武將
体力	體力
行军令	行軍令
玩家经验	玩家經驗
vip经验	vip經驗
神兵魂	神兵魂
木材	木材
铁锭	鐵錠
石料	石料
粮食	糧食
铜币	銅幣
黄金	黃金
金饼	金餅
信物	信物
功勋	功勛
联盟木材	聯盟木材
联盟铁锭	聯盟鐵錠
联盟石料	聯盟石料
联盟粮食	聯盟糧食
联盟铜币	聯盟銅幣
联盟贡献	聯盟貢獻
联盟经验	聯盟經驗
马魂	馬魂
繁荣度	繁榮度
好感度	好感度
武将经验	武將經驗
才略点	才略點
联盟名望	聯盟名望
城池经验	城池經驗
宝物经验	寶物經驗
玉玦	玉玦
玉璜	玉璜
粮草	糧草
建材	建材
铁	鐵
荣誉点	榮譽點
突破道具	突破道具
行军速度	行軍速度
战靴	戰靴
护腿	護腿
魏	魏
蜀	蜀
吴	吳
群	群
汉	漢
司隶	司隸
京兆	京兆
兖州	兗州
豫州	豫州
全部	全部
全国	全國
随机	隨機
无势力	無勢力
荆州	荊州
青徐	青徐
幽冀	幽冀
并州	並州
凉州	涼州
益州	益州
扬州	揚州
加入势力后，方能在此畅所欲言	加入勢力後，方能在此暢所欲言
 %s\n<color=#92a6b5>服务器开服时间:</color>\n<color=#c1b28e>%s</color>\n<color=#92a6b5>角色:</color>\n<color=#c1b28e>%s</color>\n<color=#92a6b5>剧本:</color>\n<color=#c1b28e>%s</color>	 %s\n<color=#92a6b5>伺服器開服時間:</color>\n<color=#c1b28e>%s</color>\n<color=#92a6b5>角色:</color>\n<color=#c1b28e>%s</color>\n<color=#92a6b5>劇本:</color>\n<color=#c1b28e>%s</color>
服务器开服时间:	伺服器開服時間:
角色:	角色:
剧本:	劇本:
 《%s》欢迎您的到来！\n请努力成为一方之主，成就自己的基业！	 《%s》歡迎您的到來！\n請努力成為一方之主，成就自己的基業！
<color=#ffa76d>%s</color>	<color=#ffa76d>%s</color>
区	區
游戏公告	遊戲公告
角色选择	角色選擇
版本号:	版本號:
"?2017  KOEI TECMO GAMES Co., Ltd. All rights resereved"	"?2017  KOEI TECMO GAMES Co., Ltd. All rights resereved"
用户名不能为空	用戶名不能為空
这个服不错喔	這個服不錯喔
请输入您的大名!	請輸入您的大名!
充值尚未开放，敬请期待!	儲值尚未開放，敬請期待!
附近没有合适的资源点，请移动后再行搜索	附近沒有合適的資源點，請移動後再行搜索
您当前的黄金不足！\n是否前往充值界面进行充值？	您當前的黃金不足！\n是否前往儲值介面進行儲值？
您当前的黄金不足	您當前的黃金不足
您当前金饼不足	您當前金餅不足
金饼不足	金餅不足
您当前的黄金不足！\n是否划拨？	您當前的黃金不足！\n是否劃撥？
是否花费%s金饼直接使%s升至%s等级	是否花費%s金餅直接使%s升至%s等級
是否花费%s金饼进行加速？	是否花費%s金餅進行加速？
是否花费%s金饼，立即完成%s	是否花費%s金餅，立即完成%s
可立即完成	可立即完成
需要花费%s金饼再次重置吗？	需要花費%s金餅再次重置嗎？
确定切换账号并重新登录？	確定切換帳號並重新登錄？
您的账号在其他地方登录，请注意账号安全！	您的帳號在其他地方登錄，請注意帳號安全！
您的账号被GM踢下线，请联系客服！	您的帳號被GM踢下線，請聯繫客服！
您的账号已被冻结，请联系GM！	您的帳號已被凍結，請聯繫GM！
服务器已关闭	伺服器已關閉
暂未达到解锁该头像的条件！	暫未達到解鎖該頭像的條件！
暂无可穿戴的装备！	暫無可穿戴的裝備！
暂无可供更换的装备！	暫無可供更換的裝備！
武将%s装备中\n是否卸下并装备到当前武将？	武將%s裝備中\n是否卸下並裝備到當前武將？
暂未开放	暫未開放
暂无可穿戴的兵器！	暫無可穿戴的兵器！
所有武将兵器已满！	所有武將兵器已滿！
含有非法字符，已自动屏蔽！	含有非法字元，已自動屏蔽！
含有空格请重新输入	含有空格請重新輸入
含有字符请重新输入	含有字元請重新輸入
含有敏感词，请重新输入！	含有敏感詞，請重新輸入！
含有敏感词<color=#ff0000>%s</color>，请重新输入！	含有敏感詞<color=#ff0000>%s</color>，請重新輸入！
您的发言过于频繁，请在%s秒后发送！	您的發言過於頻繁，請在%s秒後發送！
不能和自己进行聊天！	不能和自己進行聊天！
黄金不足！	黃金不足！
铜币不足！	銅幣不足！
繁荣度已达到最大值	繁榮度已達到最大值
购买成功！	購買成功！
使用成功！	使用成功！
分享成功！	分享成功！
分享已取消	分享已取消
每日分享可获得%s	每日分享可獲得%s
最近分享：	最近分享：
我招募的第<color=#ffe65c>%s</color>个橙色武将	我招募的第<color=#ffe65c>%s</color>個橙色武將
我满星的第<color=#ffe65c>%s</color>个橙色武将	我滿星的第<color=#ffe65c>%s</color>個橙色武將
首次分享可获得%s奖励	首次分享可獲得%s獎勵
斩获克敌第<size=32><color=#ffe65c>%s</color></size>名	斬獲克敵第<size=32><color=#ffe65c>%s</color></size>名
攻城第<size=32><color=#ffe65c>%s</color></size>名	攻城第<size=32><color=#ffe65c>%s</color></size>名
金城所致，金石为开	金城所致，金石為開
群贤毕至，九州可安	群賢畢至，九州可安
周公吐哺，天下归心！	周公吐哺，天下歸心！
空间	空間
朋友圈	朋友圈
请盟主建立本盟微信群，让我们共商大计！	請盟主建立本盟微信群，讓我們共商大計！
请盟主建立本盟QQ群，让我们共商大计！	請盟主建立本盟QQ群，讓我們共商大計！
提醒建群	提醒建群
创建公会群	創建公會群
群设置	群設置
加入公会群	加入公會群
解绑群	解綁群
加群提醒	加群提醒
QQ游戏中心用户启动精彩特权	QQ遊戲中心用戶啟動精彩特權
开始升级…	開始升級…
开始研发…	開始研發…
研发完成！	研發完成！
开始治疗…	開始治療…
开始招募…	開始招募…
开始生产…	開始生產…
您暂未加入任何联盟！	您暫未加入任何聯盟！
暂无消息	暫無消息
请输入玩家姓名！	請輸入玩家姓名！
当前有友军部队在城中驻防，不能迁城！\n请先将友军部队遣回。	當前有友軍部隊在城中駐防，不能遷城！\n請先將友軍部隊遣回。
资源不足！	資源不足！
已升至最高级！	已升至最高級！
当前队伍有武将尚未统兵，无法驻守！	當前隊伍有武將尚未統兵，無法駐守！
解锁城墙后开启部队驻防功能！	解鎖城牆後開啟部隊駐防功能！
当前没有空闲装备！	當前沒有空閒裝備！
没有符合条件的装备，请手动添加！	沒有符合條件的裝備，請手動添加！
当前没有空闲宝物！	當前沒有空閒寶物！
没有符合条件的宝物，请手动添加！	沒有符合條件的寶物，請手動添加！
当前没有可分解武将星魂！	當前沒有可分解武將星魂！
没有符合条件的武将星魂，请手动添加！	沒有符合條件的武將星魂，請手動添加！
重复武将已转化为星魂	重複武將已轉化為星魂
卸下成功！	卸下成功！
装备成功！	裝備成功！
%s不足！是否前往商城购买？	%s不足！是否前往商城購買？
升阶成功！	升階成功！
激活成功！	啟動成功！
强化成功！	強化成功！
一键强化成功！	一鍵強化成功！
一键升阶成功！	一鍵升階成功！
升阶消耗的铜币不足	升階消耗的銅幣不足
当前穿戴着该头像！	當前穿戴著該頭像！
三星通关之后才能扫荡！	三星通關之後才能掃蕩！
挑战次数不足！	挑戰次數不足！
可重置次数已用完，请提升VIP等级。	可重置次數已用完，請提升VIP等級。
本日还可重置%s/%s\n确认重置该副本的挑战次数？	本日還可重置%s/%s\n確認重置該副本的挑戰次數？
关卡暂未完成！	關卡暫未完成！
<color=#BAA947>演义-%s阶段时出现</color>	<color=#BAA947>演義-%s階段時出現</color>
创建失败，所选名字需全为汉字	創建失敗，所選名字需全為漢字
输入名字需全为汉字	輸入名字需全為漢字
邮件内容不能为空！	郵件內容不能為空！
请先加入联盟！	請先加入聯盟！
占领城池后方能进行城池捐献！	佔領城池後方能進行城池捐獻！
是否花费<color=#7FB05E>%s</color>黄金，给%s赠送%sx1？	是否花費<color=#7FB05E>%s</color>黃金，給%s贈送%sx1？
剩余次数：<color=#7FB05E>%s/%s</color>	剩餘次數：<color=#7FB05E>%s/%s</color>
今日联盟%s名额已用完	今日聯盟%s名額已用完
城池剩余可捐献金饼次数<color=#EAE1D6FF>%s/%s</color>	城池剩餘可捐獻金餅次數<color=#EAE1D6FF>%s/%s</color>
联盟%s级开启	聯盟%s級開啟
占领城池后方能领取皇榜任务！	佔領城池後方能領取皇榜任務！
城池攻城范围内不能进入免战状态，是否迁入该区域？	城池攻城範圍內不能進入免戰狀態，是否遷入該區域？
城池攻城范围内不能进入免战状态，是否取消免战并迁入该区域？	城池攻城範圍內不能進入免戰狀態，是否取消免戰並遷入該區域？
城池攻城范围内不能进入免战状态，无法使用！	城池攻城範圍內不能進入免戰狀態，無法使用！
破免倒计时	破免倒計時
尊敬的主公，取消免战准备可返还所使用的免战牌，您确定要取消免战准备吗？	尊敬的主公，取消免戰準備可返還所使用的免戰牌，您確定要取消免戰準備嗎？
主城剩余免战时间大于%s小时，无法使用该道具！	主城剩餘免戰時間大於%s小時，無法使用該道具！
使用后主城的免战时间将变更为%s小时，您确定要使用吗？	使用後主城的免戰時間將變更為%s小時，您確定要使用嗎？
确认后主城立即破免，并将进入%s准备时间，准备结束后主城的免战时间将变更为%s小时，您确定要使用吗？	確認後主城立即破免，並將進入%s準備時間，準備結束後主城的免戰時間將變更為%s小時，您確定要使用嗎？
确认后将进入%s准备时间，准备结束后主城的免战时间将变更为%s小时，您确定要使用吗？	確認後將進入%s準備時間，準備結束後主城的免戰時間將變更為%s小時，您確定要使用嗎？
确认后将进入%s准备时间，准备结束后主城的免战时间将增加%s小时，您确定要使用吗？	確認後將進入%s準備時間，準備結束後主城的免戰時間將增加%s小時，您確定要使用嗎？
免战牌已放入背包！	免戰牌已放入背包！
处于新手保护中	處於新手保護中
无法使用，当前已有相同的免战牌处于准备时间	無法使用，當前已有相同的免戰牌處於準備時間
"目标处于新手保护中,无法攻击！"	"目標處於新手保護中,無法攻擊！"
 升级大殿后<color=#ffa76d>新手免战</color>将消失，确认继续操作吗？\n<color=#ff5656>（<color=#ffa76d>新手免战</color>状态失效后，仍可以在<color=#ffa76d>【增益】</color>中使用<color=#6db9ff>免战牌</color>来保护城池不受攻击。）</color>	 升級大殿後<color=#ffa76d>新手免戰</color>將消失，確認繼續操作嗎？\n<color=#ff5656>（<color=#ffa76d>新手免戰</color>狀態失效後，仍可以在<color=#ffa76d>【增益】</color>中使用<color=#6db9ff>免戰牌</color>來保護城池不受攻擊。）</color>
确认转换为%s国阵营吗？	確認轉換為%s國陣營嗎？
您已成功转换到%s国阵营	您已成功轉換到%s國陣營
1，清先退出联盟\n2，转换阵营后立即生效\n3，仅能转换一次阵营，请慎重选择。	1，清先退出聯盟\n2，轉換陣營後立即生效\n3，僅能轉換一次陣營，請慎重選擇。
需要回到本服进行操作！	需要回到本服進行操作！
无法在当前战场使用免战令！	無法在當前戰場使用免戰令！
军旗尚在冷却中，请稍后再试	軍旗尚在冷卻中，請稍後再試
尊敬的主公，您确定要对%s使用建设资材吗?	尊敬的主公，您確定要對%s使用建設資材嗎?
消耗%s建设资材建设城池%s，是否确认?	消耗%s建設資材建設城池%s，是否確認?
该城池正处于准备放弃状态中，是否仍要进行建设	該城池正處於準備放棄狀態中，是否仍要進行建設
该城池正处于准备放弃状态中，是否仍要进行捐赠	該城池正處於準備放棄狀態中，是否仍要進行捐贈
尊敬的主公，您确定要对%s捐献资源吗?	尊敬的主公，您確定要對%s捐獻資源嗎?
尊敬的主公，您确定要对%s捐献金饼吗?	尊敬的主公，您確定要對%s捐獻金餅嗎?
聊天字数限制	聊天字數限制
%s条未读消息	%s條未讀消息
不能攻击己方%s	不能攻擊己方%s
征兵粮草不足，需有%s粮草必须用于行军！	徵兵糧草不足，需有%s糧草必須用於行軍！
"联盟参与跨服战期间,不能进行该操作"	"聯盟參與跨服戰期間,不能進行該操作"
确认不更换阵营吗？	確認不更換陣營嗎？
该阵营活跃人数较多，无法更换	該陣營活躍人數較多，無法更換
确定退出联盟，更换为%s国阵营吗？	確定退出聯盟，更換為%s國陣營嗎？
确认更换为%s国阵营吗？	確認更換為%s國陣營嗎？
1、已加入联盟的玩家，更换到其它阵营后，将自动退出原阵营所在联盟。\n2、含附件的联盟邮件将会保留，其它联盟邮件将会被删除，\n3、仅能更换一次阵营，请慎重选择	1、已加入聯盟的玩家，更換到其它陣營後，將自動退出原陣營所在聯盟。\n2、含附件的聯盟郵件將會保留，其它聯盟郵件將會被刪除，\n3、僅能更換一次陣營，請慎重選擇
本地阵营	本地陣營
联盟:%s	聯盟:%s
更换成功	更換成功
出生区域满员	出生區域滿員
此服务器人数已满	此伺服器人數已滿
"此出生区域人数已满,系统为你推荐了新的出生区域"	"此出生區域人數已滿,系統為你推薦了新的出生區域"
出生区域锁定	出生區域鎖定
不能选择此区域！	不能選擇此區域！
亿	億
万	萬
天	天
小时	小時
分钟	分鐘
秒	秒
点	點
时	時
分	分
零	零
一	一
二	二
三	三
四	四
五	五
六	六
七	七
八	八
九	九
十	十
主公经验	主公經驗
道具	道具
个人功勋	個人功勛
卡片	卡片
攻击:	攻擊:
防御:	防禦:
血量:	血量:
防御免伤	防禦免傷
法术免伤	法術免傷
负重:	負重:
耐久度:	耐久度:
增益生效！	增益生效！
持续：<color=#7fb05e>%s</color>	持續：<color=#7fb05e>%s</color>
持续时间	持續時間
当前有正在实施的内政，是否需要替换？\n替换时间将会重置.	當前有正在實施的內政，是否需要替換？\n替換時間將會重置.
今日内政实施次数已用完！	今日內政實施次數已用完！
内政效果	內政效果
今日施政次数:	今日施政次數:
保存成功	保存成功
当前设置未保存，是否要返回馆舍主界面？	當前設置未保存，是否要返回館舍主介面？
自动购买设置说明	自動購買設置說明
1.开启自动购买后，系统在您每次刷新时会先自动购买您所选择的武将	1.開啟自動購買後，系統在您每次刷新時會先自動購買您所選擇的武將
2.您可以自由设置您需要自动购买的武将	2.您可以自由設置您需要自動購買的武將
3.您需要设置您购买时消耗的货币类型以及购买的武将类型，并分别至少选择一种类型，可以多选	3.您需要設置您購買時消耗的貨幣類型以及購買的武將類型，並分別至少選擇一種類型，可以多選
自动购买到%s	自動購買到%s
请选择需要自动购买的武将	請選擇需要自動購買的武將
请选择消耗货币类型	請選擇消耗貨幣類型
请选择自动购买类型	請選擇自動購買類型
并可招募<size=28><color=#b3f770>  </color> </size><size=28> <color=#81cbff>  </color></size> <size=28><color=#ec82ef> </color></size>色武将	並可招募<size=28><color=#b3f770>  </color> </size><size=28> <color=#81cbff>  </color></size> <size=28><color=#ec82ef> </color></size>色武將
购买<color=#b3f770>%s</color>赠送武将	購買<color=#b3f770>%s</color>贈送武將
小几率赠送	小機率贈送
购买必送	購買必送
购买有几率赠送	購買有機率贈送
并可招募<size=28><color=#81cbff>  </color> </size><size=28> <color=#ec82ef>  </color></size> <size=28><color=#e1b56c> </color></size>色武将	並可招募<size=28><color=#81cbff>  </color> </size><size=28> <color=#ec82ef>  </color></size> <size=28><color=#e1b56c> </color></size>色武將
可招募<size=28><color=#81cbff>  </color> </size><size=28> <color=#ec82ef>  </color></size> <size=28><color=#e1b56c> </color></size>色武将	可招募<size=28><color=#81cbff>  </color> </size><size=28> <color=#ec82ef>  </color></size> <size=28><color=#e1b56c> </color></size>色武將
可招募到	可招募到
获得韬略值：	獲得韜略值：
武将转化：<color=#ffd76b>韬略值</color><color=#9c9684>x%s</color>	武將轉化：<color=#ffd76b>韜略值</color><color=#9c9684>x%s</color>
<color=#bbe2ef>%s</color>	<color=#bbe2ef>%s</color>
<color=#c1a6db>%s</color>	<color=#c1a6db>%s</color>
<color=#ede2a5>%s</color>	<color=#ede2a5>%s</color>
绿蓝紫	綠藍紫
蓝紫橙	藍紫橙
招纳贤士	招納賢士
广募英才	廣募英才
再买一次	再買一次
再买五次	再買五次
再购买<color=#db6565>%s</color>次赠送	再購買<color=#db6565>%s</color>次贈送
下次购买，赠送	下次購買，贈送
再购买<color=#db6565>%s</color>次赠送<color=#e26cff>紫色</color>以上武将	再購買<color=#db6565>%s</color>次贈送<color=#e26cff>紫色</color>以上武將
下次购买，赠送<color=#ec82ef>紫色</color>以上武将	下次購買，贈送<color=#ec82ef>紫色</color>以上武將
再购买<color=#db6565>%s</color>次赠送<color=#ffd76b>橙色</color>武将	再購買<color=#db6565>%s</color>次贈送<color=#ffd76b>橙色</color>武將
下次购买，赠送<color=#ffd76b>橙色</color>武将	下次購買，贈送<color=#ffd76b>橙色</color>武將
本次免费	本次免費
剩余免费次数：%s/%s	剩餘免費次數：%s/%s
今日购买次数：%s/%s	今日購買次數：%s/%s
总购买次数：%s/%s	總購買次數：%s/%s
今日寻宝次数：%s/%s	今日尋寶次數：%s/%s
买一次	買一次
半价买	半價買
%s后免费	%s後免費
今日免费次数已用完	今日免費次數已用完
武将数量将达到上限，请及时清理武将背包	武將數量將達到上限，請及時清理武將背包
%s前来投奔	%s前來投奔
今日次数已用完！	今日次數已用完！
总次数不足	總次數不足
免费次数:<color=#FFB56C>%s/%s</color>	免費次數:<color=#FFB56C>%s/%s</color>
每次获得<color=#ffb56c>%s</color>积分	每次獲得<color=#ffb56c>%s</color>積分
需要Vip等级达到<color=#fa4e4e>%s级</color>才能招募，是否前往充值？	需要Vip等級達到<color=#fa4e4e>%s級</color>才能招募，是否前往儲值？
购买必送%s	購買必送%s
有几率直接获得稀有武将:<size=30>%s</size>	有機率直接獲得稀有武將:<size=30>%s</size>
本次活动已结束！	本次活動已結束！
自动翻卡	自動翻卡
购买设置保存成功！	購買設置保存成功！
以下品质的武将自动转化为韬略值	以下品質的武將自動轉化為韜略值
转化消耗	轉化消耗
一键翻卡	一鍵翻卡
所需要的资源不足！	所需要的資源不足！
绿色武将	綠色武將
蓝色武将	藍色武將
紫色武将	紫色武將
橙色武将	橙色武將
红色武将	紅色武將
(%s品质武将已转化为韬略值)	(%s品質武將已轉化為韜略值)
<color=#8cd45c>绿色品质武将</color>=%s韬略值	<color=#8cd45c>綠色品質武將</color>=%s韜略值
<color=#80c5e5>蓝色品质武将</color>=%s韬略值	<color=#80c5e5>藍色品質武將</color>=%s韜略值
<color=#e26cff>紫色品质武将</color>=%s韬略值	<color=#e26cff>紫色品質武將</color>=%s韜略值
<color=#ffa76d>橙色品质武将</color>=%s韬略值	<color=#ffa76d>橙色品質武將</color>=%s韜略值
<color=#ff4949>红色品质武将</color>=%s韬略值	<color=#ff4949>紅色品質武將</color>=%s韜略值
<color=#8cd45c>绿色品质暴击</color>x%s	<color=#8cd45c>綠色品質暴擊</color>x%s
<color=#80c5e5>蓝色品质暴击</color>x%s	<color=#80c5e5>藍色品質暴擊</color>x%s
<color=#e26cff>紫色品质暴击</color>x%s	<color=#e26cff>紫色品質暴擊</color>x%s
<color=#ffa76d>橙色品质暴击</color>x%s	<color=#ffa76d>橙色品質暴擊</color>x%s
<color=#ff4949>红色品质暴击</color>x%s	<color=#ff4949>紅色品質暴擊</color>x%s
韬略值转化比例	韜略值轉化比例
结束后并入%s卡包	結束後併入%s卡包
您当前%s不足	您當前%s不足
卡包次数耗尽	卡包次數耗盡
%s/张	%s/張
卡包暂未开启！	卡包暫未開啟！
自定义次数	自訂次數
预计购买次数	預計購買次數
预计消耗	預計消耗
购买到	購買到
个紫色武将为止	個紫色武將為止
购买过程中，武将卡达到存放上限或铜币不足时自动停止，预计消耗不包含自动转化韬略值所消耗的铜币或金饼	購買過程中，武將卡達到存放上限或銅幣不足時自動停止，預計消耗不包含自動轉化韜略值所消耗的銅幣或金餅
开始购买	開始購買
%s次	%s次
购买消耗	購買消耗
获得韬略值	獲得韜略值
获得<color=#B0E580>绿色武将</color>	獲得<color=#B0E580>綠色武將</color>
获得<color=#80c5e5>蓝色武将</color>	獲得<color=#80c5e5>藍色武將</color>
获得<color=#e26cff>紫色武将</color>	獲得<color=#e26cff>紫色武將</color>
蓝色及以下武将已转化为韬略值	藍色及以下武將已轉化為韜略值
%s·%s * %s	%s·%s * %s
铜币转化	銅幣轉化
金饼转化	金餅轉化
自动转换	自動轉換
前往获取	前往獲取
连续购买	連續購買
%s 次	%s 次
(购买完成)	(購買完成)
"(武将达到上限,已自动停止)"	"(武將達到上限,已自動停止)"
"(购买消耗不足,已自动停止)"	"(購買消耗不足,已自動停止)"
"(铜币转换不足,已自动停止)"	"(銅幣轉換不足,已自動停止)"
"(金饼转换不足,已自动停止)"	"(金餅轉換不足,已自動停止)"
购买所需消耗不足	購買所需消耗不足
请输入购买信息	請輸入購買資訊
后结束	後結束
本次半价	本次半價
金饼转化(双倍收益)	金餅轉化(雙倍收益)
武将卡包已过期	武將卡包已過期
<color=#E1D5C0>装备共鸣</color><color=#90B999>%s</color><color=#E1D5C0>级</color>	<color=#E1D5C0>裝備共鳴</color><color=#90B999>%s</color><color=#E1D5C0>級</color>
装备共鸣       %s级	裝備共鳴       %s級
<color=#E9B675>%s：</color><color=#E1D5C0>%s</color>	<color=#E9B675>%s：</color><color=#E1D5C0>%s</color>
等级:%s	等級:%s
5级激活	5級啟動
武将等级达到%s级激活	武將等級達到%s級啟動
武将空闲状态可进行操作	武將空閒狀態可進行操作
武将主技能%s级解锁	武將主技能%s級解鎖
武将%s级解锁	武將%s級解鎖
满级激活	滿級啟動
武将技能达到%s级激活	武將技能達到%s級啟動
解锁条件	解鎖條件
激活条件	啟動條件
武将等级达到%s级解锁	武將等級達到%s級解鎖
武将技能达到%s级	武將技能達到%s級
消耗%s张同品质武将卡可激活	消耗%s張同品質武將卡可啟動
卸下宝物后武将所在队伍统御值超出上限，武将将会自动下阵，是否继续本次操作？	卸下寶物後武將所在隊伍統御值超出上限，武將將會自動下陣，是否繼續本次操作？
Lv	Lv
兵阶	兵階
将缘	將緣
升星	升星
武力%s	武力%s
统率%s	統率%s
攻城%s	攻城%s
智力%s	智力%s
兵力%s	兵力%s
速度%s	速度%s
兵器:%s	兵器:%s
资质:	資質:
资质<color=#D5D1C6FF>%s</color>	資質<color=#D5D1C6FF>%s</color>
定位:	定位:
盾兵	盾兵
弓兵	弓兵
枪兵	槍兵
骑兵	騎兵
盾	盾
弓	弓
枪	槍
骑	騎
装备于%s	裝備於%s
<color=#EAE1D6>装备中</color>	<color=#EAE1D6>裝備中</color>
装备中	裝備中
装备武将	裝備武將
强化等级	強化等級
所有装备强化至%s级	所有裝備強化至%s級
%s星解锁	%s星解鎖
未选择穿戴装备	未選擇穿戴裝備
未达到装备穿戴条件\n武将等级达到:%s级	未達到裝備穿戴條件\n武將等級達到:%s級
