关联表								
string	string	int	string	string	string	string	string	string
cross_battle_num_limit	抽卡次数超标	0						
cross_battle_rank_limit	排名不达标	0						
ctb_day_max_limit	捐献已达上限	0						
ctb_max_limit	捐献超过上限值	0						
data_error	数据异常	0						
day_construction_limit	今日元宝捐献次数已用完	0						
day_max	今日次数已用完	0						
del_mail_error	没有可删除的邮件	0						
donate_num_limit	物资捐献已达上限	0						
duplicate		0						
duplicate_lib_duplicate_award_box_node	领取条件不满足	0						
duplicate_lib_famous_duplicate_change_card_node	前置副本未通关	0						
duplicate_lib_famous_duplicate_change_card_reset	名将副本换将次数不足	0						
duplicate_lib_famous_duplicate_change_card_rmb	名将副本重置所需的元宝不足	0						
duplicate_lib_fight_day_num	每日挑战次数已达上限	0						
duplicate_lib_fight_node	前置副本未通关	0						
duplicate_lib_fight_pve	体力不足	0						
duplicate_lib_fight_pvp	副本战斗行军令不满足	0						
duplicate_lib_fight_role_level	副本战斗玩家等级不满足	0						
duplicate_lib_fight_star	副本战斗星星条件不满足	0						
duplicate_lib_fight_vip_level	副本战斗玩家VIP等级不满足	0						
duplicate_lib_fight2_public_day_count	挑战次数不足	0						
duplicate_lib_reset_num_node	前置副本未通关	0						
duplicate_lib_reset_num_reset	重置次数不足	0						
duplicate_lib_reset_num_rmb	元宝不足	0						
duplicate_lib_sweep_day_num	副本扫荡次数不足	0						
duplicate_lib_sweep_public_day_count	同类型副本每天最大挑战次数不足	0						
duplicate_lib_sweep_pve	体力不足	0						
duplicate_lib_sweep_pvp	副本扫荡行军令不满足	0						
duplicate_lib_sweep_role_level	副本扫荡玩家等级不满足	0						
duplicate_lib_sweep_star	副本扫荡星级条件不满足	0						
duplicate_lib_sweep_vip_level	副本扫荡VIP等级不满足	0						
duplicate_no_normal	副本格式化战斗数据异常	0						
duplicate_star_awarded	奖励已领取	0						
duplicate_star_limit	领取奖励所需的星数不满足	0						
enemy_garray_queue_null	这个玩家的防守阵容数据为空,不能战斗	0						
equipment		0						
equipment_already_max	装备已经满级	0						
equipment_lib_active_building_type	激活图纸，检测要求的建筑类型的任意1建筑的等级不满足	0						
equipment_lib_active_prop	激活图纸，道具不满足	0						
equipment_lib_put_equipment_card_level	武将等级不足	0						
equipment_lib_put_equipment_role_level	主公等级不足	0						
equipment_lib_up_streng_iron	强化所需铁锭不足	0						
equipment_lib_up_streng_money	铜币不足	0						
equipment_storage_full	装备包裹空间不足	0						
error_ally_corps_uid	解散结盟的联盟uid错误	0						
error_input	数据异常，请稍后再试	1						
exchange		0						
exchange_db_exchange_prop	材料不足	0						
exchange_db_exchange_role_money	铜币不足	0						
exchange_lib_exchange_building_type	合成兑换物品建筑类型不满足	0						
exchange_lib_exchange_equipment_forge	合成兑换物品装备图纸不存在	0						
exchange_lib_exchange_money	铜币不足	0						
exchange_lib_exchange_prop	材料不足	0						
exist	已存在角色	1						
exist_mole_role_uid	目标已经是内奸	0						
exist_same_card_sid	存在相同武将	0						
exist_sid	已领取过同sid任务	0						
fight		0						
fight_boss_num_limit	今日挑战次数已达上限！	0						
fight_db_investigate_soldier_num	侦查部队数不足	0						
fight_lib_speed_up_money	铜币不足	0						
fight_lib_speed_up_prop	加速道具不足	0						
fight_lib_speed_up_rmb	您当前的元宝不足	0						
fight_state	有武将为出战状态	0						
fighting	战斗中	0						
fighting_no_normal	fighting战斗格式化战斗数据异常	0						
friend_garrays_exist	当前有友军驻防中，不能进行迁城	0						
function_no_open	gm工具关闭了校武场	0						
function_not_open	功能暂未开放！	0						
funds		0						
funds_lib_award_buy_number	购买开服基金次数数不足	0						
funds_lib_award_funds	没有购买开服基金	0						
funds_lib_award_level	开服领奖所需的主公等级不足	0						
funds_lib_buy_rmb	购买开服基金所需的元宝不足	0						
funds_lib_buy_vip	购买开服基金所需的vip等级不足	0						
game_center_activation_code_not_found	无效激活码	0						
game_center_activation_code_time_out	激活码不在有效期	0						
game_center_activation_code_type_error	激活码类型错误	0						
game_center_gift_code_not_found	礼包码格式不正确	1						
game_center_gift_code_time_out	该礼包码已过期	0						
game_center_gift_code_type_error	礼包码类型错误	0						
garraison_dispatching	已派遣驻防	0						
garray		0						
garray_error	选择该阵型不能出征	0						
garray_id_error	队伍ID错误	0						
garray_lib_new_change_card_building	上阵建筑等级不足	0						
garray_lib_new_change_card_level_barracks	提升中军帐等级可以增加上阵武将数量	0						
garray_lib_new_change_card_level_ordnance	上阵器械数量已达最大	0						
garray_lib_new_change_card_level_role	主公等级不足	0						
garray_lib_new_change_card_main_lv	大殿等级不足	0						
garray_lib_new_change_card_role_lv	等级不足	0						
garray_lib_new_change_card_study	上阵科技等等级不足	0						
garray_lib_set_skill36_bstudy_lv	计略府等级限制	0						
garray_lib_set_skill36_building_sid	计略府等级不足	0						
garray_lib_set_skill36_card_record	计略解锁效果条件限制	0						
garray_lib_set_skill36_study_lv	计略等级限制	0						
garray_marching_state	有部队在外不能迁城	0						
garray_not_idle	该队伍当前不可编辑	0						
garray_not_recall	该队伍当前不可召回	0						
garray_ordnance_max_error	上阵器械数量已达最大	0						
garray_queue_null	自己防守阵容为空不能战斗	0						
garray_soldier_type_limit	兵种限制	0						
garray_state	有友军军队不可迁城	0						
garrison_friends_num_limit	对方友军驻防数量达到上限	0						
garrison_no_dispatch	没有这个驻防队伍	0						
garrison_no_friend_array	该友军队伍不存在	0						
garrison_no_friend_garray	没有这个好友驻防队伍	0						
garrison_no_recall	该队伍不能召回	0						
getpve_awarded	已经领取过该宝箱	0						
getpve_lib_getpve_rmb	消耗元宝不足	0						
getpve_lib_getpve_time	不在领取时间段	0						
gift_id_error	礼包id错误	0						
gift_lib_check_count	已使用过该类型礼包码	0						
gift_lib_check_gift_time	该礼包码已过期	0						
gift_lib_check_parent_count	礼包码使用个数已达上限	0						
gift_lib_check_platform_id	该礼包码无法使用	0						
gift_lib_check_role_count	礼包码领取已达上限	0						
gift_lib_check_use_count	礼包码可使用次数不足	0						
gift_lib_gift_award_count	您已领取过该类型的礼包码	0						
gift_lib_gift_award_gift_time	该礼包码已过期	0						
gift_lib_gift_award_ios_android	礼包码使用平台限制	0						
gift_lib_gift_award_parent_count	礼包码使用个数已达上限	0						
gift_lib_gift_award_platform_id	该礼包码使用平台受限	0						
gift_lib_gift_award_role_count	礼包码领取已达上限	0						
gift_lib_gift_award_use_count	该礼包码已被使用	0						
gift_lib_role_activation_conditions_gift_time	激活码不在有效期	0						
gift_lib_role_activation_conditions_ios_android	平台错误	0						
gift_lib_role_activation_conditions_platform_id	渠道错误	0						
gift_lib_role_activation_conditions_use_count	激活码已使用	0						
give_up_daymax	每日放弃任务次数已达上限	0						
goods_not_enough	要消耗的物品不足	0						
got_position_award	当天已领取次数	0						
grid_is_activited	该天赋已经激活	0						
grid_not_full	天赋没有全部激活	0						
grid_not_this_star	天赋传入sid错误	0						
group_does_not_belong_with_corps	军团不属于联盟	0						
group_not_exist	军团不属于联盟	0						
group_name_exist	军团名字已存在	0						
have_awarded	该奖励已经领取	0						
have_conutry	已经选取过势力	0						
have_point	已经有了出生点	0						
have_emoji	存再特殊字符	0						
have_mask_word	含有敏感词，请重新输入	1						
horn		0						
horn_alone	由于你的发言存在非法信息，请联系客服	0						
horn_cross_error	中控没有配置	0						
horn_lib_send_horn_cd	喇叭冷却时间尚未结束	0						
horn_lib_send_horn_prop	物品不足	0						
horn_lib_send_horn_role_level	主公等级不满足	0						
horn_lib_send_horn_vip_level	主公VIP等级不满足	0						
in_use	此皮肤正在使用	0						
index_error	当前位置已经没有武将	0						
index_info_type_error_ordnance	当前位置对应的不是器械	0						
injured_limit	伤兵数量不足	0						
input_error	数据异常，请稍后再试	1						
input_uid_error	没有找到这个玩家的校武场数据	0						
ld_consume_not_enough	消耗不足	0						
ld_day_max	已达到本日次数上限	0						
ld_day_times_limit	次数不足	0						
ld_lib_draw_card_storage	可容纳武将的空间不足	0						
ld_lib_draw_cross_battle_num	执行抽奖跨服战次数不满足	0						
ld_lib_draw_free_times	免费次数不足	0						
ld_lib_draw_money	铜币不足	0						
ld_lib_draw_mount_storage	执行抽奖坐骑包裹空间不足	0						
ld_lib_draw_officer_silver	玉璜不足	0						
ld_lib_draw_prop	物品不足	0						
ld_lib_draw_rmb	元宝不足	0						
ld_lib_draw_role_level	等级不足	0						
ld_lib_draw_vip_level	vip等级不足	0						
leisure_limit	空闲士兵不足	0						
leisure_weapon_not_enough	空闲兵器不足	0						
level_limit	主公等级不足	0						
level_limit_1	世界频道聊天主公等级不足	0						
level_limit_2	私聊频道聊天主公等级不足	0						
level_limit_3	联盟频道聊天主公等级不足	0						
level_limit_4	势力频道聊天主公等级不足	0						
limit_count	当前服务器人数过多	0						
limit_create	该服务器已满，请您选择其他服务器进行游戏	1						
limit_login	服务器限制登录	0						
log_not_exist	战报不存在	0						
look		0						
look_goback	寻访队伍已返回	0						
look_lib_check_condition_attr	寻访队伍所有武将属性不满足	0						
look_lib_check_condition_card_lv	寻访队伍有武将等级不满足条件	0						
look_lib_check_condition_power	寻访队伍战力不满足	0						
look_lib_check_condition_soldiers_num	寻访队伍总兵力不满足	0						
look_lib_look_forage	寻访粮草不满足	0						
look_times_limit	可寻访次数不足(寻访点可以被寻访的次数已经没有了)	0						
lucky_draw		0						
lv_limit	主公等级不足	0						
mail		0						
mail_leng	当日购买数量上限	0						
mail_not_exsit	该邮件不存在	0						
main_building_level_1	大殿达到7级开放世界频道	1						
main_building_level_2	大殿达到3级开放私聊频道	1						
main_building_level_4	大殿达到5级开放势力频道	1						
main_building_not_dispatch	大殿不能派遣	0						
map_battle_spy_lib_spy_recruit_rmb	招募消耗的rmb不足	0						
map_build		0						
map_build_creating	地图建筑建设中	0						
map_build_donate_limit	建筑捐献限制	0						
map_build_fly_cd	冲车营击飞冷却限制	0						
map_build_level_limit	建筑等级限制	0						
map_build_lib_cancel_destroy_corps_position	取消建筑摧毁所需的权限不足	0						
map_build_lib_create_cb_forage	建设地图建筑跨服粮草不足	0						
map_build_lib_create_cb_iron	建设地图建筑跨服铁不足	0						
map_build_lib_create_cb_mineral	建设地图建筑跨服石料不足	0						
map_build_lib_create_cb_wood	建设地图建筑跨服木材不足	0						
map_build_lib_create_corps_lv	联盟等级不足	0						
map_build_lib_create_corps_position	权限不足	0						
map_build_lib_create_donate	捐献值不足	0						
map_build_lib_create_town_lv	城池等级不足	0						
map_build_lib_create_town_owner	城池不属于己方联盟	0						
map_build_lib_destroy_corps_position	权限不足	0						
map_build_lib_donate_cb_iron	建筑捐献跨服铁锭不足	0						
map_build_lib_donate_cb_mineral	建筑捐献跨服石料不足	0						
map_build_lib_donate_cb_wood	建筑捐献跨服木材不足	0						
map_build_lib_donate_iron	建筑捐献铁锭不足	0						
map_build_lib_donate_mineral	建筑捐献石料不足	0						
map_build_lib_donate_wood	建筑捐献木材不足	0						
map_build_lib_fly_corps_position	收取冲车营效果联盟职位不足	0						
map_build_lib_removal_cd	搬迁当前处于冷却中	0						
map_build_lib_removal_corps_position	权限不足	0						
map_build_lib_removal_rmb	搬迁元宝不足	0						
map_build_lib_create_map_build_for_sgz2_role_lv	建筑创建玩家等级不足	0						
map_build_lib_create_map_build_for_sgz2_main_building_level	建筑创建大殿等级不足	0						
map_build_lib_create_map_build_for_sgz2_wood	建筑创建木材不足	0						
map_build_lib_create_map_build_for_sgz2_mineral	建筑创建矿石不足	0						
map_build_lib_create_map_build_for_sgz2_iron	建筑创建铁锭不足	0						
map_build_lib_create_map_build_for_sgz2_forage	建筑创建粮食不足	0						
map_build_lib_repair_wood	建筑修复木材不足	0						
map_build_lib_repair_mineral	建筑修复矿石不足	0						
map_build_lib_repair_iron	建筑修复铁不足	0						
map_build_lib_repair_forage	建筑修复粮食不足	0						
map_build_lib_uplevel_for_sgz2_wood	建筑升级木材不足	0						
map_build_lib_uplevel_for_sgz2_mineral	建筑升级矿石不足	0						
map_build_lib_uplevel_for_sgz2_iron	建筑升级铁不足	0						
map_build_lib_uplevel_for_sgz2_forage	建筑升级粮食不足	0						
map_build_lib_uplevel_for_sgz2_main_building_level	建筑升级大殿等级不足	0						
map_build_lib_uplevel_for_sgz2_role_lv	建筑升级玩家等级不足	0						
map_build_max_lv	建筑已经最大等级	0						
map_build_not_owner	建筑不是自己联盟所有	0						
map_build_not_yours	不是自己建筑或建筑不存在	0						
map_build_state_limit	建筑状态限制	0						
map_build_not_distory	建筑没在销毁状态中	0						
map_build_not_up	建筑没在升级状态中	0						
map_build_max_num_limit	建筑最大个数限制	1						
map_build_bvalue_is_full	建筑耐久度已达最大值，不能修复	0						
map_spy_lib_spy_recruit_cb_forage	招募消耗的粮草不足	0						
marching_add_speed_times	行军加速次数不足	0						
marching_max	行军数达到最大	0						
match_port_no_normal	战斗结算的时候并没有战斗数据	0						
max_exp	此科技已经满级	0						
max_group_num	军团数量达到上限	0						
max_mole_size	内奸数量已经达到最大值	0						
max_num_limit	可拥有侦查兵的最大数量超限	0						
max_number_limit	士兵总数超过上限	1						
max_position_award_0	联盟长的俸禄今日已被领取	0						
max_position_award_1	副联盟长的俸禄今日已被领取	0						
mintage_time_limit	时间未到	0						
mole_role_uid_error	目标角色uid错误	0						
monarch_corps_exist	该联盟已接受其他诏令	0						
monarch_has_king	已经有君主	0						
monarch_not_find_corps	联盟没有找到	0						
monarch_not_police	没有找到诏令	0						
monarch_only_king_op	只有君主才能操作	0						
monarch_role_has_official	玩家已有官职	0						
monarch_role_not_official	玩家没有职位	0						
monarch_set_official_cd	职位冷却中	0						
monarch_town_owner_error	都城不属于自己联盟	0						
money_donate_num_limit	今日联盟铜币捐献名额已用完	1						
month_card_end	月卡已过期	0						
mount		0						
mount_in_card	坐骑已经穿戴	0						
Mount_level_max	坐骑等级达到最大	0						
mount_lib_forging_money	锻造合成铜币不足	0						
mount_lib_forging_prop	锻造合成物品不足	0						
mount_lib_put_equipment_mount_level	穿戴装备坐骑等级不足	0						
mount_lib_reduce_queue_time_prop	锻造减少队列时间物品不足	0						
mount_not_in_this_card	坐骑主人不是这个武将	0						
name_length_err	输入字符过长	0						
no_abandoing_town	没有放弃中的城池	0						
no_barracks	没有招募/治疗信息	0						
no_born_point	该势力人数已达上限,请选择其他势力创建	0						
no_card	角色没有此武将	0						
no_chat	当前无法聊天	0						
no_collect	没有人在采集	0						
no_corps	没有联盟	0						
no_equipment	角色没有此装备	0						
no_famous_general	没有名将挑战	0						
no_help_info	没有帮助信息	0						
no_idle	队伍不为空闲状态	0						
no_in_corps	没有在联盟中	0						
no_login	网络连接中断,请重新登录	0						
no_login_cross_server	表示不能登录跨服服务器	0						
no_look	没有寻访信息	0						
no_map_build	建筑已消失	0						
no_marching	没有行军信息	1						
no_mintage	没有铸币信息	0						
no_month_card	没有月卡	0						
no_mount	uid对应的坐骑不存在	0						
no_old_enemy	原排名玩家数据错误	0						
no_permissions	没有权限	0						
no_point	没有坐标	0						
no_push_gift	没有限时推送礼包事件	0						
no_qid	此队列未解锁	0						
no_queue	没有找到队列	0						
no_recruit	没有招募队列	0						
no_role	角色不存在	1						
no_role_trust	角色不存在	1						
no_science	没有已学习的科技	0						
no_server_name	sdk错误,请重新登录	0						
no_skill36	没有该计略	0						
no_station	没有驻扎/驻防	0						
no_style	没有此头像	0						
no_this_achieve	没有这个任务	0						
no_this_mole	这个玩家不是内奸	0						
no_treasure	没有此宝物	0						
no_treasure_house_or_black_market	藏宝阁或者黑市没有解锁	0						
no_trust	不在托管状态	0						
no_user_trust	该帐号不存在	0						
normal_town_limit	郡城城池占有数量不足	0						
